x_phys_m;p_snapshot_Pa
0;1.993333333333333;0
1;1.98;0
2;1.966666666666667;0
3;1.953333333333333;0
4;1.94;0
5;1.926666666666667;0
6;1.913333333333333;0
7;1.9;0
8;1.886666666666667;0
9;1.873333333333333;0
10;1.86;0
11;1.846666666666667;0
12;1.833333333333333;0
13;1.82;0
14;1.806666666666667;0
15;1.793333333333333;0
16;1.78;0
17;1.766666666666667;0
18;1.753333333333333;0
19;1.74;0
20;1.726666666666667;0
21;1.713333333333333;0
22;1.7;0
23;1.686666666666667;0
24;1.673333333333333;0
25;1.66;0
26;1.646666666666667;0
27;1.633333333333333;0
28;1.62;0
29;1.606666666666667;0
30;1.593333333333333;0
31;1.58;0
32;1.566666666666667;0
33;1.553333333333333;0
34;1.54;0
35;1.526666666666667;0
36;1.513333333333333;0
37;1.5;0
38;1.486666666666667;0
39;1.473333333333333;0
40;1.46;0
41;1.446666666666667;0
42;1.433333333333333;0
43;1.42;0
44;1.406666666666667;0
45;1.393333333333333;0
46;1.38;0
47;1.366666666666667;0
48;1.353333333333333;0
49;1.34;0
50;1.326666666666667;0
51;1.313333333333333;0
52;1.3;0
53;1.286666666666667;0
54;1.273333333333333;0
55;1.26;0
56;1.246666666666667;0
57;1.233333333333333;0
58;1.22;0
59;1.206666666666667;0
60;1.193333333333333;0
61;1.18;0
62;1.166666666666667;0
63;1.153333333333333;0
64;1.14;0
65;1.126666666666667;0
66;1.113333333333333;0
67;1.1;0
68;1.086666666666667;0
69;1.073333333333333;0
70;1.06;0
71;1.046666666666667;0
72;1.033333333333333;0
73;1.02;0
74;1.006666666666667;0
75;0.9933333333333334;0
76;0.98;0
77;0.9666666666666666;0
78;0.9533333333333334;0
79;0.9399999999999999;0
80;0.9266666666666667;0
81;0.9133333333333333;0
82;0.8999999999999999;0
83;0.8866666666666667;0
84;0.8733333333333333;0
85;0.8600000000000001;0
86;0.8466666666666667;0
87;0.8333333333333333;0
88;0.8200000000000001;0
89;0.8066666666666666;0
90;0.7933333333333332;0
91;0.78;0
92;0.7666666666666666;0
93;0.7533333333333334;0
94;0.74;0
95;0.7266666666666666;0
96;0.7133333333333334;0
97;0.7;0
98;0.6866666666666668;0
99;0.6733333333333333;0
100;0.6599999999999999;0
101;0.6466666666666667;0
102;0.6333333333333333;0
103;0.6200000000000001;0
104;0.6066666666666667;0
105;0.5933333333333333;0
106;0.5800000000000001;0
107;0.5666666666666667;0
108;0.5533333333333332;0
109;0.54;0
110;0.5266666666666666;0
111;0.5133333333333334;0
112;0.5;0
113;0.4866666666666666;0
114;0.4733333333333334;0
115;0.46;0
116;0.4466666666666668;0
117;0.4333333333333333;0
118;0.4199999999999999;0
119;0.4066666666666667;0
120;0.3933333333333333;0
121;0.3799999999999999;0
122;0.3666666666666667;0
123;0.3533333333333333;0
124;0.3400000000000001;0
125;0.3266666666666667;0
126;0.3133333333333332;0
127;0.3;0
128;0.2866666666666666;0
129;0.2733333333333334;0
130;0.26;0
131;0.2466666666666666;0
132;0.2333333333333334;0
133;0.22;0
134;0.2066666666666668;0
135;0.1933333333333334;0
136;0.1799999999999999;0
137;0.1666666666666667;0
138;0.1533333333333333;0
139;0.1399999999999999;0
140;0.1266666666666667;0
141;0.1133333333333333;0
142;0.1000000000000001;0
143;0.08666666666666667;0
144;0.07333333333333325;0
145;0.06000000000000005;0
146;0.04666666666666663;0
147;0.03333333333333344;0
148;0.02000000000000002;0
149;0.006666666666666599;0
150;-0.006666666666666821;0
151;-0.02000000000000002;0
152;-0.03333333333333321;0
153;-0.04666666666666686;0
154;-0.06000000000000005;0
155;-0.07333333333333325;0
156;-0.08666666666666645;0
157;-0.1000000000000001;0
158;-0.1133333333333333;0
159;-0.1266666666666665;0
160;-0.1400000000000001;0
161;-0.1533333333333333;0
162;-0.1666666666666665;0
163;-0.1800000000000002;0
164;-0.1933333333333334;0
165;-0.2066666666666666;0
166;-0.2200000000000002;0
167;-0.2333333333333334;0
168;-0.2466666666666666;0
169;-0.2599999999999998;0
170;-0.2733333333333334;0
171;-0.2866666666666666;0
172;-0.2999999999999998;0
173;-0.3133333333333335;0
174;-0.3266666666666667;0
175;-0.3399999999999999;0
176;-0.3533333333333335;0
177;-0.3666666666666667;0
178;-0.3799999999999999;0
179;-0.3933333333333335;0
180;-0.4066666666666667;0
181;-0.4199999999999999;0
182;-0.4333333333333331;0
183;-0.4466666666666668;0
184;-0.46;0
185;-0.4733333333333332;0
186;-0.4866666666666668;0
187;-0.5;0
188;-0.5133333333333332;0
189;-0.5266666666666668;0
190;-0.54;0
191;-0.5533333333333332;0
192;-0.5666666666666669;0
193;-0.5800000000000001;0
194;-0.5933333333333333;0
195;-0.6066666666666665;0
196;-0.6200000000000001;0
197;-0.6333333333333333;0
198;-0.6466666666666665;0
199;-0.6600000000000001;0
200;-0.6733333333333333;0
201;-0.6866666666666665;0
202;-0.7000000000000002;0
203;-0.7133333333333334;0
204;-0.7266666666666666;0
205;-0.7400000000000002;0
206;-0.7533333333333334;0
207;-0.7666666666666666;0
208;-0.7799999999999998;0
209;-0.7933333333333334;0
210;-0.8066666666666666;0
211;-0.8199999999999998;0
212;-0.8333333333333335;0
213;-0.8466666666666667;0
214;-0.8599999999999999;0
215;-0.8733333333333335;0
216;-0.8866666666666667;0
217;-0.8999999999999999;0
218;-0.9133333333333336;0
219;-0.9266666666666667;0
220;-0.9399999999999999;0
221;-0.9533333333333331;0
222;-0.9666666666666668;0
223;-0.98;0
224;-0.9933333333333332;0
225;-1.006666666666667;0
226;-1.02;0
227;-1.033333333333333;0
228;-1.046666666666667;0
229;-1.06;0
230;-1.073333333333333;0
231;-1.086666666666666;0
232;-1.1;0
233;-1.113333333333333;0
234;-1.126666666666666;0
235;-1.14;0
236;-1.153333333333333;0
237;-1.166666666666667;0
238;-1.18;0
239;-1.193333333333333;0
240;-1.206666666666667;0
241;-1.22;0
242;-1.233333333333333;0
243;-1.246666666666667;0
244;-1.26;0
245;-1.273333333333333;0
246;-1.286666666666667;0
247;-1.3;0
248;-1.313333333333333;0
249;-1.326666666666667;0
250;-1.34;0
251;-1.353333333333333;0
252;-1.366666666666667;0
253;-1.38;0
254;-1.393333333333334;0
255;-1.406666666666667;0
256;-1.42;0
257;-1.433333333333333;0
258;-1.446666666666667;0
259;-1.46;0
260;-1.473333333333333;0
261;-1.486666666666667;0
262;-1.5;0
263;-1.513333333333333;0
264;-1.526666666666667;0
265;-1.54;0
266;-1.553333333333333;0
267;-1.566666666666667;0
268;-1.58;0
269;-1.593333333333333;0
270;-1.606666666666666;0
271;-1.62;0
272;-1.633333333333333;0
273;-1.646666666666667;0
274;-1.66;0
275;-1.673333333333333;0
276;-1.686666666666667;0
277;-1.7;0
278;-1.713333333333333;0
279;-1.726666666666667;0
280;-1.74;0
281;-1.753333333333333;0
282;-1.766666666666667;0
283;-1.78;0
284;-1.793333333333333;0
285;-1.806666666666667;0
286;-1.82;0
287;-1.833333333333333;0
288;-1.846666666666667;0
289;-1.86;0
290;-1.873333333333334;0
291;-1.886666666666667;0
292;-1.9;0
293;-1.913333333333334;0
294;-1.926666666666667;0
295;-1.94;0
296;-1.953333333333333;0
297;-1.966666666666667;0
298;-1.98;0
299;-1.993333333333333;0
